ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol,datetime,hour
2025-11-14 09:00:00+00:00,34,2,17448,102.58,102.88,102.58,102.6,2512,WMT,2025-11-14 09:00:00+00:00,9
2025-11-14 09:00:00+00:00,34,2,9113,195.45,195.48,195.31,195.43,347,JNJ,2025-11-14 09:00:00+00:00,9
2025-11-14 09:00:00+00:00,34,2,9475,71.15,71.26,71.15,71.26,194,KO,2025-11-14 09:00:00+00:00,9
2025-11-14 09:00:00+00:00,34,2,853,235.9,237.32,235.68,236.4,12372,AMZN,2025-11-14 09:00:00+00:00,9
2025-11-14 09:00:00+00:00,34,2,1429,337.5,338.82,336.27,336.56,2812,AVGO,2025-11-14 09:00:00+00:00,9
2025-11-14 09:00:00+00:00,34,2,38,272.5,273.52,272.5,272.74,8734,AAPL,2025-11-14 09:00:00+00:00,9
2025-11-14 09:00:00+00:00,34,2,17709,118.28,118.81,118.28,118.81,1940,XOM,2025-11-14 09:00:00+00:00,9
2025-11-14 09:00:00+00:00,34,2,86,129.59,129.6,129.59,129.6,63,ABT,2025-11-14 09:00:00+00:00,9
2025-11-14 09:00:00+00:00,34,2,3942,156.4,156.81,156.4,156.81,156,CVX,2025-11-14 09:00:00+00:00,9
2025-11-14 09:00:00+00:00,34,2,2306,512.48,514.0,512.45,513.93,1448,BRK.B,2025-11-14 09:00:00+00:00,9
2025-11-14 09:00:00+00:00,34,2,12497,25.71,25.74,25.56,25.62,14654,PFE,2025-11-14 09:00:00+00:00,9
2025-11-14 09:00:00+00:00,34,2,16244,393.69,395.99,389.14,390.45,279264,TSLA,2025-11-14 09:00:00+00:00,9
2025-11-14 09:00:00+00:00,34,2,11667,184.59,185.18,183.79,184.23,92327,NVDA,2025-11-14 09:00:00+00:00,9
2025-11-14 09:00:00+00:00,34,2,7569,366.1,366.1,365.93,365.93,60,HD,2025-11-14 09:00:00+00:00,9
2025-11-14 09:00:00+00:00,34,2,12463,145.42,145.71,145.4,145.69,129,PEP,2025-11-14 09:00:00+00:00,9
2025-11-14 09:00:00+00:00,34,2,10451,606.0,607.41,605.66,606.31,9345,META,2025-11-14 09:00:00+00:00,9
2025-11-14 09:00:00+00:00,34,2,16009,578.5,578.5,578.0,578.0,10,TMO,2025-11-14 09:00:00+00:00,9
2025-11-14 09:00:00+00:00,34,2,54,232.8,232.8,232.8,232.8,25,ABBV,2025-11-14 09:00:00+00:00,9
2025-11-14 09:00:00+00:00,34,2,10193,555.0,556.92,555.0,556.0,14,MA,2025-11-14 09:00:00+00:00,9
2025-11-14 09:00:00+00:00,34,2,12540,148.04,148.49,148.04,148.37,231,PG,2025-11-14 09:00:00+00:00,9
2025-11-14 09:00:00+00:00,34,2,9928,1011.89,1019.03,1010.56,1017.33,1408,LLY,2025-11-14 09:00:00+00:00,9
2025-11-14 09:00:00+00:00,34,2,3572,925.1,926.8,925.1,926.8,431,COST,2025-11-14 09:00:00+00:00,9
2025-11-14 09:00:00+00:00,34,2,9155,309.66,309.95,308.98,309.17,188,JPM,2025-11-14 09:00:00+00:00,9
2025-11-14 09:00:00+00:00,34,2,10888,501.23,503.0,501.04,501.63,5300,MSFT,2025-11-14 09:00:00+00:00,9
2025-11-14 09:00:00+00:00,34,2,16727,336.08,336.4,335.96,336.4,51,V,2025-11-14 09:00:00+00:00,9
2025-11-14 09:00:00+00:00,34,2,10847,92.67,92.67,92.25,92.37,768,MRK,2025-11-14 09:00:00+00:00,9
2025-11-14 09:00:00+00:00,34,2,3745,77.2,77.33,77.18,77.33,1949,CSCO,2025-11-14 09:00:00+00:00,9
2025-11-14 09:00:00+00:00,34,2,7152,277.45,278.26,276.83,277.06,14300,GOOGL,2025-11-14 09:00:00+00:00,9
2025-11-14 09:00:00+00:00,34,2,16549,329.34,331.0,329.22,330.25,3798,UNH,2025-11-14 09:00:00+00:00,9
2025-11-14 10:00:00+00:00,34,2,2306,513.96,514.79,513.54,513.78,630,BRK.B,2025-11-14 10:00:00+00:00,10
2025-11-14 10:00:00+00:00,34,2,3745,77.22,77.37,77.22,77.26,2734,CSCO,2025-11-14 10:00:00+00:00,10
2025-11-14 10:00:00+00:00,34,2,16244,390.33,392.68,389.5,391.32,124082,TSLA,2025-11-14 10:00:00+00:00,10
2025-11-14 10:00:00+00:00,34,2,11667,184.16,184.95,184.06,184.51,65596,NVDA,2025-11-14 10:00:00+00:00,10
2025-11-14 10:00:00+00:00,34,2,17709,118.85,119.2,118.85,119.09,869,XOM,2025-11-14 10:00:00+00:00,10
2025-11-14 10:00:00+00:00,34,2,12540,148.43,148.46,148.24,148.24,137,PG,2025-11-14 10:00:00+00:00,10
2025-11-14 10:00:00+00:00,34,2,9928,1017.84,1018.96,1016.35,1016.35,589,LLY,2025-11-14 10:00:00+00:00,10
2025-11-14 10:00:00+00:00,34,2,10847,92.37,92.37,92.2,92.37,181,MRK,2025-11-14 10:00:00+00:00,10
2025-11-14 10:00:00+00:00,34,2,16009,577.6,577.6,577.6,577.6,7,TMO,2025-11-14 10:00:00+00:00,10
2025-11-14 10:00:00+00:00,34,2,7152,277.07,277.72,276.57,276.57,25851,GOOGL,2025-11-14 10:00:00+00:00,10
2025-11-14 10:00:00+00:00,34,2,9155,309.35,310.2,309.2,309.48,264,JPM,2025-11-14 10:00:00+00:00,10
2025-11-14 10:00:00+00:00,34,2,10193,555.0,556.31,555.0,556.31,34,MA,2025-11-14 10:00:00+00:00,10
2025-11-14 10:00:00+00:00,34,2,16727,336.4,336.49,335.97,336.07,103,V,2025-11-14 10:00:00+00:00,10
2025-11-14 10:00:00+00:00,34,2,86,129.57,129.61,129.33,129.36,48,ABT,2025-11-14 10:00:00+00:00,10
2025-11-14 10:00:00+00:00,34,2,3942,156.9,157.26,156.9,157.03,463,CVX,2025-11-14 10:00:00+00:00,10
2025-11-14 10:00:00+00:00,34,2,10451,606.31,607.6,606.0,606.13,4626,META,2025-11-14 10:00:00+00:00,10
2025-11-14 10:00:00+00:00,34,2,12497,25.61,25.65,25.54,25.6,10965,PFE,2025-11-14 10:00:00+00:00,10
2025-11-14 10:00:00+00:00,34,2,16549,329.98,330.99,329.98,330.48,1165,UNH,2025-11-14 10:00:00+00:00,10
